year,elections__state,incumbent first name,incumbent middle name,incumbent last name,incumbent gender,incumbent party,incumbent election history (1),incumbent election history(2),incumbent seniority,percent of votes incumbent voted with their party,percent of votes incumbent voted against their party,election result,candidate 1 full info,candidate 1 name,candidate 1 party,candidate 1 percentage of votes,"candidate 1 gender (0=M, 1=F)",candidate 1 funding,proportion of funding candidate 1,candidate 2 full info,candidate 2 name,candidate 2 party,candidate 2 percentage of votes,"candidate 2 gender (0=M, 1=F)",candidate 2 funding,proportion of funding candidate 2,"color value (0=no women, 1=woman won, 2=woman lost, 3=both women"
1990,Alabama,Howell,Thomas,Heflin,M,D,1978,1984,11,68.3,31.7,Incumbent re-elected.,Howell Heflin (Democratic) 60.7%,Howell Heflin ,Democratic,60.70%,0,"$4,005,473.00",,William J. Cabaniss (Republican) 39.3%,William J. Cabaniss ,Republican,39.30%,0,"$1,870,162.00",,0
1990,Alaska,Ted,F.,Stevens,M,R,1970,1972,21,82.98,17.02,Incumbent re-elected.,Ted Stevens (Republican) 67.2%,Ted Stevens ,Republican,67.20%,0,"$1,676,916.00",,Michael Beasley (Democratic) 32.8%,Michael Beasley ,Democratic,32.80%,0,"$1,000.00",,0
1990,Arkansas,David,Hampton,Pryor,M,D,1978,1984,11,88.33,11.67,Incumbent re-elected.,David Pryor (Democratic),David Pryor ,Democratic,,0,"$1,498,368.00",,Unopposed,Unopposed,,,,,,0
1990,Colorado,,,,,,1978,1984,,,,Incumbent retired.New senator elected.Republican hold.,Hank Brown (Republican) 55.7%,Hank Brown ,Republican,55.70%,0,"$4,179,746.00",,Josie Heath (Democratic) 41.6%,Josie Heath ,Democratic,41.60%,1,"$1,946,611.00",,2
1990,Delaware,,,,,,1972,1978,,,,Incumbent re-elected.,Joe Biden (Democratic) 62.7%,Joe Biden ,Democratic,62.70%,0,"$2,819,488.00",,M. Jane Brady (Republican) 35.8%,M. Jane Brady ,Republican,35.80%,1,,,2
1990,Georgia,,,,,,1972 (Special),1972,,,,Incumbent re-elected.,Sam Nunn (Democratic),Sam Nunn ,Democratic,,0,"$2,118,911.00",,Unopposed,Unopposed,,,0,,,0
1990,Idaho,,,,,,1972,1978,,,,Incumbent retired.New senator elected.Republican hold.,Larry Craig (Republican) 61.3%,Larry Craig ,Republican,61.30%,0,"$1,734,617.00",,Ron J. Twilegar (Democratic) 38.7%,Ron J. Twilegar ,Democratic,38.70%,0,"$545,167.00",,0
1990,Illinois,Paul,Martin,Simon,M,D,1984,,5,85.76,14.24,Incumbent re-elected.,Paul Simon (Democratic) 64.9%,Paul Simon ,Democratic,64.90%,0,"$9,643,884.00",,Lynn Morley Martin (Republican) 35.1%,Lynn Morley Martin ,Republican,35.10%,1,"$4,986,730.00",,2
1990,Iowa,Tom,null,Harkin,M,D,1984,,5,81.5,18.5,Incumbent re-elected.,Tom Harkin (Democratic) 54.0%,Tom Harkin ,Democratic,54.00%,0,"$5,715,839.00",,Tom Tauke (Republican) 46.0%,Tom Tauke ,Republican,46.00%,0,"$4,941,559.00",,0
1990,Kansas,Nancy,Landon,Kassebaum,F,R,1978,1984,11,82.74,17.26,Incumbent re-elected.,Nancy Kassebaum (Republican) 73.6%,Nancy Kassebaum ,Republican,73.60%,1,"$532,964.00",,Dick Williams (Democratic) 26.4%,Dick Williams ,Democratic,26.40%,1,"$16,827.00",,1
1990,Kentucky,Mitch,null,McConnell,M,R,1984,,5,90.15,9.85,Incumbent re-elected.,Mitch McConnell (Republican) 52.2%,Mitch McConnell ,Republican,52.20%,0,"$5,636,215.00",,Harvey I. Sloane (Democratic) 47.8%,Harvey I. Sloane ,Democratic,47.80%,0,"$3,013,863.00",,0
