year,state,candidate,winner,Percent of Vote,type
1990,Alabama,Howell Heflin ,True,60.7,3
1990,Alabama,William J. Cabaniss ,False,60.7,3
1990,Alaska,Ted Stevens ,True,67.2,3
1990,Alaska,Michael Beasley ,False,67.2,3
1990,Arkansas,David Pryor ,True,1.0,3
1990,Colorado,Hank Brown ,True,55.7,2
1990,Colorado,Josie Heath ,False,55.7,2
1990,Delaware,Joe Biden ,True,62.7,2
1990,Delaware,M. Jane Brady ,False,62.7,2
1990,Georgia,Sam Nunn ,True,1.0,3
1990,Idaho,Larry Craig ,True,61.3,3
1990,Idaho,Ron J. Twilegar ,False,61.3,3
1990,Illinois,Paul Simon ,True,64.9,2
1990,Illinois,Lynn Morley Martin ,False,64.9,2
1990,Iowa,Tom Harkin ,True,54.0,3
1990,Iowa,Tom Tauke ,False,54.0,3
1990,Kansas,Nancy Kassebaum ,True,73.6,0
1990,Kansas,Dick Williams ,False,73.6,0
1990,Kentucky,Mitch McConnell ,True,52.2,3
1990,Kentucky,Harvey I. Sloane ,False,52.2,3
1990,Louisiana,J. Bennett Johnston ,True,53.0,3
1990,Louisiana,David Duke ,False,53.0,3
1990,Maine,William Cohen ,True,61.4,3
1990,Maine,Neil Rolde ,False,61.4,3
1990,Massachusetts,John Kerry ,True,56.9,3
1990,Massachusetts,Jim Rappaport ,False,56.9,3
1990,Michigan,Carl Levin ,True,57.5,3
1990,Michigan,Bill Schuette ,False,57.5,3
1990,Minnesota,Paul Wellstone ,True,50.4,3
1990,Minnesota,Rudy Boschwitz ,False,50.4,3
1990,Mississippi,Thad Cochran ,True,1.0,3
1990,Montana,Max Baucus ,True,68.1,3
1990,Montana,Allen Kolstad ,False,68.1,3
1990,Nebraska,J. James Exon ,True,59.1,3
1990,Nebraska,Hal Daub ,False,59.1,3
1990,New Hampshire,Bob Smith ,True,65.1,3
1990,New Hampshire,John A. Durkin ,False,65.1,3
1990,New Jersey,Bill Bradley ,True,50.4,2
1990,New Jersey,Christine Todd Whitman ,False,50.4,2
1990,New Mexico,Pete Domenici ,True,72.9,3
1990,New Mexico,Tom R. Benavides ,False,72.9,3
1990,North Carolina,Jesse Helms ,True,52.6,3
1990,North Carolina,Harvey Gantt ,False,52.6,3
1990,Oklahoma,David Boren ,True,83.2,3
1990,Oklahoma,Stephen Jones ,False,83.2,3
1990,Oregon,Mark Hatfield ,True,53.9,3
1990,Oregon,Harry Lonsdale ,False,53.9,3
1990,Rhode Island,Claiborne Pell ,True,61.8,2
1990,Rhode Island,Claudine Schneider ,False,61.8,2
1990,South Carolina,Strom Thurmond ,True,64.2,3
1990,South Carolina,Bob Cunningham ,False,64.2,3
1990,South Dakota,Larry Pressler ,True,52.4,3
1990,South Dakota,Ted Muenster ,False,52.4,3
1990,Tennessee,Al Gore ,True,67.7,3
1990,Tennessee,William R. Hawkins ,False,67.7,3
1990,Texas,Phil Gramm ,True,60.2,3
1990,Texas,Hugh Parmer ,False,60.2,3
1990,Virginia,John Warner ,True,80.9,2
1990,Virginia,Nancy B. Spannaus ,False,80.9,2
1990,West Virginia,Jay Rockefeller ,True,68.5,3
1990,West Virginia,John Yoder ,False,68.5,3
1990,Wyoming,Alan Simpson ,True,66.4,2
1990,Wyoming,Kathy Helling ,False,66.4,2
1992,Alabama,Richard Shelby ,True,64.8,3
1992,Alabama,Richard Sellars ,False,64.8,3
1992,Alaska,Frank Murkowski ,True,53.0,3
1992,Alaska,Tony Smith ,False,53.0,3
1992,Arizona,John McCain ,True,55.8,2
1992,Arizona,Claire Sargent ,False,55.8,2
1992,Arkansas,Dale Bumpers ,True,60.2,3
1992,Arkansas,Mike Huckabee ,False,60.2,3
1992,California,Barbara Boxer ,True,47.9,1
1992,California,Bruce Herschensohn ,False,47.9,1
